date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog
04.12.14;39.9;54.0;0.0;0.0;0.0;Jun 26;60;10. Jul;80;17.0;Yes
05.12.14;39.9;52.0;0.0;0.0;0.0;Feb 46;90;08. Mai;50;10. Jul;No
07.12.14;35.1;53.1;0.0;0.0;0.0;Dez 97;40;23.94;40;36.91;No
17.12.14;39.0;60.1;0.0;0.0;0.0;MŠr 58;250;Dez 97;230;16. Nov;No
25.12.14;35.1;64.0;0.03;0.0;0.0;Mai 82;240;17.0;270;23.94;Yes
29.12.14;41.0;55.0;0.72;0.0;0.0;Jun 71;30;12. Aug;50;16. Nov;Yes
05.01.15;32.0;55.9;0.0;0.0;0.0;Mai 37;310;14.99;280;21.92;No
06.01.15;26. Feb;55.0;0.0;0.0;0.0;04. Jul;230;21. MŠr;230;25.95;No
11.01.15;17. Feb;48.9;0.0;0.0;0.0;0.89;80;Jun 93;140;12. Aug;No
24.01.15;35.1;48.9;0.14;0.0;0.0;Mai 82;310;Dez 97;330;21. MŠr;Yes
11.02.15;30.2;51.1;0.0;0.0;0.0;Apr 92;30;18. Dez;40;25.95;No
17.02.15;19. Feb;35.1;0.39;0.71;Jan 18;04. Jul;40;Dez 97;20;18. Dez;Yes
23.02.15;30.2;46.9;0.03;0.0;0.0;Jul 38;70;14.99;50;19.91;Yes
24.02.15;19. Feb;30.2;0.09;Jan 42;0.0;Apr 47;90;16. Nov;90;21.92;Yes
05.03.15;32.0;66.0;0.97;0.0;0.0;Okt 51;40;23. Apr;40;29. Aug;Yes
10.03.15;50.0;75.0;0.0;0.0;0.0;Jun 93;220;21. MŠr;220;25. Mai;No
11.03.15;59.0;75.9;0.11;0.0;0.0;Mai 14;240;16. Nov;360;18. Dez;Yes
17.03.15;46.9;82.0;0.0;0.0;0.0;06. Apr;330;17.0;340;29. Aug;No
22.03.15;46.9;66.0;0.0;0.0;0.0;Apr 25;140;Dez 97;140;17.0;Yes
23.03.15;43.0;57.9;0.0;0.0;0.0;08. Mai;50;17.0;60;23. Apr;No
24.03.15;36.0;66.9;0.0;0.0;0.0;Mai 14;110;18. Dez;120;27.96;No
28.03.15;32.0;46.0;0.0;0.0;0.0;Jun 26;290;17.0;310;23. Apr;No
29.03.15;22. Jan;52.0;0.0;0.0;0.0;04. Jul;240;14. Sep;230;19.91;No
01.04.15;46.9;66.0;0.0;0.0;0.0;Jun 71;40;16. Nov;80;21. MŠr;No
